index,Date,Time of Day,Placed,Mental State,Eliminations,Assists,Revives,Accuracy,Hits,Head Shots,Distance Traveled,Materials Gathered,Materials Used,Damage Taken,Damage to Players,Damage to Structures
0,04/10,18:00,27,sober,2,0,0,0.23,14,2,271.08,20,20,272,331,621
1,04/10,18:00,45,sober,1,2,0,0.3,19,1,396.73,123,30,247,444,998
2,04/10,18:00,38,high,3,0,0,0.3,32,1,607.8,71,60,176,322,1109
3,04/10,19:00,30,high,1,3,0,0.18,19,1,714.16,244,10,238,330,4726
4,04/10,19:00,16,high,3,1,1,0.5799999999999998,42,18,1140.0,584,150,365,668,2070
5,04/10,19:00,30,high,0,1,0,0.1,3,1,575.59,78,60,146,117,5482
6,04/10,19:00,20,high,3,3,0,0.25,41,6,1200.0,1379,150,175,634,3036
7,04/10,19:00,29,high,2,2,0,0.25,17,4,292.43,59,50,219,412,1083
8,04/10,19:00,21,high,4,0,1,0.39,50,14,1160.0,416,20,196,989,9494
9,04/10,20:00,24,high,1,2,0,0.35,30,1,559.11,165,70,150,422,1257
10,04/10,20:00,35,high,1,2,1,0.21,19,0,663.13,127,110,388,420,3343
11,04/10,20:00,27,high,3,0,0,0.23,32,3,638.17,162,20,105,492,1928
12,04/10,20:00,36,high,1,0,0,0.18,11,3,197.45,68,0,101,279,896
13,04/10,20:00,27,high,4,1,0,0.27,38,1,992.29,226,20,106,817,1540
14,04/11,13:00,17,sober,4,0,3,0.22,34,11,610.18,270,30,233,950,1779
15,04/11,14:00,4,sober,5,4,4,0.2,35,3,3230.0,715,420,200,894,9494
16,04/11,14:00,5,sober,3,6,1,0.17,32,11,2780.0,384,370,264,787,3589
17,04/11,14:00,20,sober,1,6,0,0.23,19,2,1650.0,62,60,315,611,3506
18,04/11,14:00,29,sober,3,1,0,0.27,27,7,341.7,20,20,290,659,1047
19,04/11,14:00,28,sober,1,1,0,0.46,13,4,346.04,25,20,161,294,855
20,04/11,15:00,1,sober,7,0,0,0.25,63,9,3320.0,541,530,180,1399,17151
21,04/11,20:00,49,high,2,0,0,0.25,27,0,476.91,167,10,128,327,1984
22,04/11,20:00,66,high,0,1,0,0.13,5,1,216.66,87,0,165,91,1232
23,04/11,20:00,18,high,5,0,0,0.26,60,5,1200.0,806,230,677,766,2041
24,04/11,21:00,55,high,1,1,0,0.26,8,0,338.6,98,90,106,154,309
25,04/11,21:00,39,high,1,1,0,0.24,12,4,229.59,102,90,154,439,327
26,04/13,13:00,26,sober,4,2,1,0.2,46,0,562.26,321,30,100,736,2518
27,04/13,13:00,18,sober,1,0,0,0.04,2,0,693.1,261,70,120,60,1643
28,04/13,14:00,8,sober,6,2,0,0.28,59,10,2560.0,732,320,317,1444,7028
29,04/13,14:00,19,sober,2,2,0,0.34,38,8,616.55,95,80,412,768,1421
30,04/13,14:00,2,sober,8,0,1,0.17,34,7,3790.0,3002,1740,321,1166,10594
31,04/13,15:00,21,sober,0,2,0,0.06,6,0,1240.0,328,120,133,219,2733
32,04/13,15:00,48,sober,2,0,0,0.38,5,0,89.51,69,0,134,385,300
33,04/13,15:00,14,sober,1,2,0,0.12,11,4,1700.0,519,60,316,416,8412
34,04/13,18:00,22,high,1,1,0,0.17,22,3,640.68,70,70,200,302,1257
35,04/13,18:00,22,high,3,2,1,0.2,22,4,399.83,50,50,157,646,1386
36,04/13,19:00,10,high,3,3,0,0.22,48,5,1810.0,512,150,567,651,2371
37,04/13,19:00,13,high,6,0,0,0.36,92,22,1500.0,894,160,257,1253,4871
38,04/13,20:00,1,high,6,3,1,0.17,46,7,3830.0,1907,530,193,1308,18026
39,04/13,20:00,15,high,2,3,1,0.26,45,7,771.01,749,150,422,600,2728
40,04/13,20:00,16,high,4,2,2,0.23,28,2,526.5,153,20,142,922,2220
41,04/13,21:00,2,high,6,2,0,0.27,54,5,4050.0,2553,680,400,1383,4945
42,04/13,21:00,6,high,1,1,0,0.08,8,0,2810.0,288,280,352,256,5036
43,04/14,12:00,31,sober,3,1,0,0.2899999999999999,21,2,570.68,78,50,343,509,1777
44,04/14,12:00,21,sober,2,2,0,0.18,16,3,661.55,136,40,355,376,1724
45,04/14,13:00,25,sober,1,0,0,0.04,1,1,574.95,204,40,272,157,1219
46,04/14,13:00,11,sober,2,1,0,0.17,24,2,1980.0,970,70,274,335,5948
47,04/14,13:00,46,sober,1,0,0,0.9,36,1,168.94,69,20,206,313,350
48,04/14,13:00,21,sober,3,0,0,0.35,26,1,709.09,230,30,194,548,9240
49,04/14,13:00,32,sober,0,0,0,0.1,9,2,411.05,139,30,212,276,2090
50,04/14,13:00,28,sober,1,1,0,0.22,28,10,416.91,46,40,173,560,593
51,04/14,13:00,25,sober,2,1,0,0.24,30,3,970.08,251,90,223,668,2602
52,04/14,14:00,5,sober,4,5,1,0.38,105,33,2330.0,687,50,671,1507,5063
53,04/14,14:00,4,sober,5,3,1,0.16,38,4,3220.0,2215,410,158,1081,8810
54,04/14,14:00,29,sober,1,2,0,0.44,27,13,518.08,79,1,164,592,358
55,04/14,14:00,48,sober,0,1,0,0.21,3,1,17.86,30,0,182,132,264
56,04/14,14:00,24,sober,2,2,0,0.21,49,20,614.77,88,30,209,680,1588
57,04/14,14:00,26,sober,2,0,0,0.38,10,0,418.13,43,30,132,507,999
58,04/14,15:00,24,sober,2,0,0,0.43,27,12,448.19,165,10,319,560,348
59,04/14,15:00,24,sober,2,1,0,0.34,28,5,500.6,164,55,339,442,3687
60,04/14,16:00,12,high,3,0,0,0.25,25,9,1950.0,204,50,352,481,2511
61,04/14,16:00,6,high,2,3,1,0.17,21,0,2130.0,429,180,298,497,5012
62,04/14,16:00,25,high,2,0,0,0.24,8,1,308.27,50,0,154,430,175
63,04/14,16:00,17,high,1,2,0,0.16,9,0,475.88,32,30,19,157,1319
64,04/14,16:00,23,high,1,1,1,0.39,19,0,193.54,56,0,247,311,589
65,04/14,19:00,15,high,1,3,0,0.07,11,2,1450.0,231,150,299,189,2410
66,04/14,19:00,16,high,1,0,0,0.11,4,0,685.75,254,30,298,80,3727
67,04/15,13:00,17,sober,2,0,0,0.27,32,1,1650.0,317,160,270,502,2029
68,04/15,13:00,13,sober,6,2,0,0.13,38,7,1890.0,1560,140,367,1005,9540
69,04/15,14:00,5,sober,6,3,0,0.11,29,3,3350.0,421,230,366,764,11077
70,04/15,14:00,41,sober,0,1,0,0.25,8,3,161.73,75,10,109,250,565
71,04/15,17:00,25,high,2,2,1,0.28,20,5,494.14,49,0,134,467,736
